replicate,uav_estimate_x_m,uav_estimate_y_m,uav_error_xy_m,target_raw_x_m,target_raw_y_m,target_raw_error_xy_m,target_bias_corrected_x_m,target_bias_corrected_y_m,target_bias_corrected_error_xy_m
1,1.0155207800359665,3.8136119930507064,0.03934237894273437,0.8215028372716378,4.758935562674781,0.128757912394692,0.9371446337882481,4.893221613787756,0.04847021487662657
2,0.9985380385258312,3.8043382177304434,0.020583306538689294,0.8068716566024144,4.751944843155288,0.14379113740117633,0.9225134531190248,4.886230894268263,0.03442656892797716
3,0.9838143066104625,3.7850216917588146,0.004067258838492663,0.8231464670746504,4.765668305385118,0.12264720143109967,0.9387882635912608,4.899954356498093,0.054785666143133425
4,0.9984710625203079,3.828437890593582,0.04176520264390874,0.7572254594070474,4.76134749914962,0.1764551099890117,0.8728672559236578,4.895633550262596,0.051852131232843296
5,0.9977867800081677,3.8008733907527543,0.017580336159593837,0.8337580318308901,4.709234713278793,0.16359374699623871,0.9493998283475005,4.843520764391768,0.04494262574111306
6,0.9785158138291697,3.795363888291492,0.009026637513955542,0.8331665909121778,4.751611701037952,0.12733041594676242,0.9488083874287881,4.885897752150927,0.05210035014417817
7,0.9879140428122943,3.7766534851520626,0.012668476895950867,0.8122314326862243,4.719875432220035,0.16533852152534076,0.9278732292028347,4.8541614833330105,0.021744040831976875
8,0.9934315797734746,3.7649322356757455,0.025499119094256565,0.7485264976074226,4.69920903372541,0.22230083193976422,0.864168294124033,4.833495084838385,0.04763729761976826
9,0.98140886755006,3.768902635891253,0.020343738767848805,0.8323070508369782,4.6977248290191795,0.17459743547222586,0.9479488473535885,4.832010880132155,0.04810787997862587
10,0.9663856198152369,3.7882886109674963,0.01849379212306261,0.7560274815247765,4.682050544422091,0.22974028211475642,0.8716692780413868,4.816336595535066,0.05252439850247769
11,0.9969908581873057,3.804120519978527,0.019419383332462552,0.8365114286063701,4.704841016644357,0.16637251361458885,0.9521532251229804,4.839127067757333,0.04892371609248962
12,1.002173685047286,3.8064711082579206,0.024626885668600808,0.7987222665025271,4.713171713871952,0.17868150033365754,0.9143640630191374,4.847457764984927,0.0117547841188267
