frame_seq,sample_timestamp_ns,tag_id,anchor_id,anchor_x_m,anchor_y_m,anchor_z_m,range_m,stddev_m
13,2391638995457,carla_uav_uwb_tag,A4,-15.0,12.0,4.5,20.476744626085775,0.05
14,2391738995458,carla_uav_uwb_tag,A1,-15.0,-12.0,0.5,27.029340955920123,0.05
14,2391738995458,carla_uav_uwb_tag,A2,15.0,-12.0,4.5,21.072297207740036,0.05
14,2391738995458,carla_uav_uwb_tag,A3,15.0,12.0,0.5,11.969262010404666,0.05
14,2391738995458,carla_uav_uwb_tag,A4,-15.0,12.0,4.5,20.669383402239873,0.05
15,2391838995460,carla_uav_uwb_tag,A1,-15.0,-12.0,0.5,27.09029593105842,0.05
15,2391838995460,carla_uav_uwb_tag,A2,15.0,-12.0,4.5,20.961564773180157,0.05
15,2391838995460,carla_uav_uwb_tag,A3,15.0,12.0,0.5,11.884406820965586,0.05
15,2391838995460,carla_uav_uwb_tag,A4,-15.0,12.0,4.5,20.762385034247483,0.05
16,2391938995461,carla_uav_uwb_tag,A1,-15.0,-12.0,0.5,27.340653126496097,0.05
16,2391938995461,carla_uav_uwb_tag,A2,15.0,-12.0,4.5,20.999655146124713,0.05
16,2391938995461,carla_uav_uwb_tag,A3,15.0,12.0,0.5,11.723453602494017,0.05
16,2391938995461,carla_uav_uwb_tag,A4,-15.0,12.0,4.5,20.821855939177308,0.05
17,2392038995463,carla_uav_uwb_tag,A1,-15.0,-12.0,0.5,27.47791781393524,0.05
17,2392038995463,carla_uav_uwb_tag,A2,15.0,-12.0,4.5,20.933029036094815,0.05
17,2392038995463,carla_uav_uwb_tag,A3,15.0,12.0,0.5,11.542672514147965,0.05
17,2392038995463,carla_uav_uwb_tag,A4,-15.0,12.0,4.5,20.899947121338467,0.05
18,2392138995464,carla_uav_uwb_tag,A1,-15.0,-12.0,0.5,27.51826059814243,0.05
18,2392138995464,carla_uav_uwb_tag,A2,15.0,-12.0,4.5,20.950947630368624,0.05
18,2392138995464,carla_uav_uwb_tag,A3,15.0,12.0,0.5,11.480073278100544,0.05
18,2392138995464,carla_uav_uwb_tag,A4,-15.0,12.0,4.5,21.10253182556426,0.05
19,2392238995466,carla_uav_uwb_tag,A1,-15.0,-12.0,0.5,27.671336801464438,0.05
19,2392238995466,carla_uav_uwb_tag,A2,15.0,-12.0,4.5,20.91840930612734,0.05
19,2392238995466,carla_uav_uwb_tag,A3,15.0,12.0,0.5,11.37169500223109,0.05
19,2392238995466,carla_uav_uwb_tag,A4,-15.0,12.0,4.5,21.163637571468602,0.05
20,2392338995467,carla_uav_uwb_tag,A1,-15.0,-12.0,0.5,27.843240091076204,0.05
20,2392338995467,carla_uav_uwb_tag,A2,15.0,-12.0,4.5,20.862664625291377,0.05
20,2392338995467,carla_uav_uwb_tag,A3,15.0,12.0,0.5,11.190711658254715,0.05
20,2392338995467,carla_uav_uwb_tag,A4,-15.0,12.0,4.5,21.2707908090123,0.05
21,2392438995469,carla_uav_uwb_tag,A1,-15.0,-12.0,0.5,27.887519290051387,0.05
21,2392438995469,carla_uav_uwb_tag,A2,15.0,-12.0,4.5,20.90626887687259,0.05
21,2392438995469,carla_uav_uwb_tag,A3,15.0,12.0,0.5,11.054858362212983,0.05
21,2392438995469,carla_uav_uwb_tag,A4,-15.0,12.0,4.5,21.400910369972056,0.05
22,2392538995470,carla_uav_uwb_tag,A1,-15.0,-12.0,0.5,28.09746403211097,0.05
22,2392538995470,carla_uav_uwb_tag,A2,15.0,-12.0,4.5,20.891270909557402,0.05
