image_i,image_j,n_matches,n_inliers,inlier_ratio,runtime_ms,success
0,1,7,0,0.0000,3219.88,0
0,2,17,14,0.8235,3267.20,1
0,3,205,122,0.5951,3169.76,1
0,4,46,28,0.6087,3210.58,1
1,2,39,20,0.5128,3055.84,1
1,3,251,185,0.7371,3309.52,1
1,4,45,20,0.4444,3075.40,1
2,3,38,27,0.7105,3181.77,1
2,4,150,110,0.7333,3177.87,1
3,4,42,24,0.5714,3188.39,1
