frame_seq,carla_frame,sample_timestamp_ns,x_m,y_m,z_m,velocity_x_mps,velocity_y_mps,velocity_z_mps
0,878334,2390338995438,2.8524169921875,5.5180511474609375,3.058412790298462,28.52431517125615,55.18051667760904,0.5841275134629756
1,878335,2390438995439,2.992095947265625,5.57475471496582,3.061164140701294,1.3966393885407724,0.5670225724409583,0.02751316612637958
2,878336,2390538995441,3.1313323974609375,5.631099700927734,3.0638909339904785,1.3923308227873221,0.5634547489573993,0.02726851800964422
3,878337,2390638995442,3.2700958251953125,5.687084197998047,3.06659197807312,1.3878217638013268,0.5598508645622413,0.027012962849280175
4,878338,2390738995444,3.408416748046875,5.742706298828125,3.0692665576934814,1.3831128608794918,0.5562111499028433,0.02674660286394473
5,878339,2390838995445,3.5462493896484375,5.7979583740234375,3.071913719177246,1.3782047920956808,0.5525358379197076,0.026469544594080047
6,878340,2390938995447,3.68353271484375,5.85284423828125,3.0745320320129395,1.3730982642033673,0.54882516383155,0.026181898859300584
7,878341,2391038995448,3.8203125,5.907350540161133,3.077120304107666,1.3677940125336807,0.5450793651202268,0.025883780714064664
8,878342,2391138995449,3.95654296875,5.961479187011719,3.0796775817871094,1.362292800889744,0.5412986815156096,0.02557530940165531
9,878343,2391238995451,4.09222412109375,6.015228271484375,3.0822036266326904,1.356595421436504,0.5374833549801039,0.02525660830648549
10,878344,2391338995452,4.2272796630859375,6.068593978881836,3.0846962928771973,1.3507026945867562,0.533633629693373,0.024927804904742723
11,878345,2391438995454,4.36175537109375,6.1215667724609375,3.087155342102051,1.3446154688829992,0.5297497520364747,0.02458903071340446
12,878346,2391538995455,4.4955902099609375,6.174150466918945,3.0895793437957764,1.3383346208752123,0.5258319705762649,0.024240421237630427
13,878347,2391638995457,4.6287689208984375,6.226337432861328,3.0919673442840576,1.3318610549946364,0.5218805360494283,0.02388211591656267
14,878348,2391738995458,4.76129150390625,6.278129577636719,3.0943188667297363,1.325195703423594,0.5178957013464114,0.023514258067552085
15,878349,2391838995460,4.89312744140625,6.32951545715332,3.096632719039917,1.3183395259611785,0.513877721495275,0.023136994828833746
16,878350,2391938995461,5.024261474609375,6.380496978759766,3.098907709121704,1.3112935098851253,0.5098268536454054,0.022750477100673128
17,878351,2392038995463,5.1546478271484375,6.431074142456055,3.1011431217193604,1.3040586698095247,0.5057433570508696,0.02235485948500801
18,878352,2392138995464,5.2843170166015625,6.481235504150391,3.1033382415771484,1.2966360475389038,0.5016274930541531,0.02195030022360933
19,878353,2392238995466,5.4132232666015625,6.530982971191406,3.105491876602173,1.2890267119179821,0.49747952506908,0.0215369611347882
20,878354,2392338995467,5.541351318359375,6.580312728881836,3.1076033115386963,1.2812317586779987,0.49329971856421295,0.021115007548668796
21,878355,2392438995469,5.668670654296875,6.629220962524414,3.1096718311309814,1.2732523102787052,0.48908834104574694,0.02068460824105986
22,878356,2392538995470,5.7951812744140625,6.677707672119141,3.111696481704712,1.2650895157469044,0.48484566204037627,0.0202459353659451
23,878357,2392638995472,5.92083740234375,6.725763320922852,3.1136763095855713,1.256744550510911,0.48057195307813494,0.019799164386626322
24,878358,2392738995473,6.045684814453125,6.77338981628418,3.1156108379364014,1.2482186162312825,0.47626748767495286,0.019344474005538737
25,878359,2392838995475,6.1696319580078125,6.820583343505859,3.1174991130828857,1.2395129406278294,0.47193254131508766,0.018882046092770916
26,878360,2392938995476,6.292694091796875,6.867340087890625,3.119340181350708,1.230628777302778,0.46756739143369863,0.01841206561332409
27,878361,2393038995478,6.4148406982421875,6.913656234741211,3.12113356590271,1.2215674055603198,0.46317231739883447,0.017934720553122313
28,878362,2393138995479,6.53607177734375,6.959531784057617,3.1228785514831543,1.21233013022235,0.4587476004937585,0.017450201843826063
29,878363,2393238995481,6.6563720703125,7.004961013793945,3.1245744228363037,1.2029182814404749,0.4542935238988388,0.01695870328645821
30,878364,2393338995482,6.7757110595703125,7.0499420166015625,3.126220703125,1.1933332145047437,0.44981037267344703,0.01646042147388893
31,878365,2393438995484,6.8940582275390625,7.094472885131836,3.1278159618377686,1.1835763096481688,0.4452984337377508,0.015955555712199865
32,878366,2393538995485,7.0114288330078125,7.138547897338867,3.1293606758117676,1.1736489718482357,0.4407579958542751,0.01544430794096302
33,878367,2393638995487,7.1277923583984375,7.182167053222656,3.1308531761169434,1.1635526306243893,0.43618934960952593,0.014926882652472051
34,878368,2393738995488,7.24310302734375,7.2253265380859375,3.132293701171875,1.15328873983235,0.4315927873952763,0.01440348680994158
35,878369,2393838995490,7.3574066162109375,7.268022537231445,3.133681058883667,1.142858777454645,0.42696860338994114,0.013874329764732019
36,878370,2393938995491,7.4706268310546875,7.31025505065918,3.135014772415161,1.1322642453878728,0.42231709353976576,0.013339623172604342
37,878371,2394038995493,7.5827789306640625,7.352018356323242,3.1362950801849365,1.121506669226262,0.4176385555397122,0.012799580909067243
38,878372,2394138995494,7.6938323974609375,7.393312454223633,3.1375203132629395,1.1105875980422741,0.41293328881468305,0.012254418983825566
39,878373,2394238995496,7.8037872314453125,7.434131622314453,3.138690710067749,1.0995086041632085,0.4082015945000972,0.011704355454380255
40,878374,2394338995497,7.91259765625,7.474475860595703,3.139805793762207,1.0882712829451169,0.4034437754228115,0.011149610338808957
41,878375,2394438995499,8.020309448242188,7.51434326171875,3.140864849090576,1.0768772525428094,0.3986601360815989,0.010590405527761693
42,878376,2394538995500,8.126815795898438,7.553728103637695,3.1418676376342773,1.0653281536769477,0.3938509826277592,0.010026964695707408
43,878377,2394638995502,8.232192993164062,7.592628479003906,3.1428134441375732,1.0536256493978513,0.389016622845455,0.009459513211464987
44,878378,2394738995503,8.33636474609375,7.631044387817383,3.143702268600464,1.041771424845912,0.3841573661321007,0.008888278048063969
45,878379,2394838995505,8.4393310546875,7.668972015380859,3.144533634185791,1.0297671870089253,0.37927352347840504,0.008313487691951893
46,878380,2394938995506,8.541091918945312,7.706409454345703,3.1453073024749756,1.0176146644764827,0.3743654074486802,0.007735372051608513
47,878381,2395038995508,8.641647338867188,7.743354797363281,3.1460227966308594,1.0053156071907488,0.3694333321606713,0.007154162365581029
48,878382,2395138995509,8.740936279296875,7.7798004150390625,3.146679639816284,0.9928717861947867,0.36447761326548367,0.006570091109995291
49,878383,2395238995511,8.838943481445312,7.8157501220703125,3.147278070449829,0.9802849933772428,0.3594985679274654,0.005983391905565183
50,878384,2395338995512,8.935699462890625,7.851200103759766,3.147817373275757,0.9675570412146328,0.35449651480379707,0.005394299424150706
51,878385,2395438995514,9.03118896484375,7.886146545410156,3.1482975482940674,0.9546897625099859,0.34947177402420593,0.00480304929488945
52,878386,2395538995515,9.125350952148438,7.920589447021484,3.14871883392334,0.9416850101292518,0.34442466717034215,0.004209878009950041
53,878387,2395638995517,9.21820068359375,7.954524993896484,3.1490800380706787,0.9285446567342603,0.33935551725535973,0.003615022829937531
54,878388,2395738995518,9.309722900390625,7.987951278686523,3.1493818759918213,0.9152705945132311,0.33426464870310646,0.0030187216889926427
55,878389,2395838995520,9.39990234375,8.020868301391602,3.1496243476867676,0.9018647349081554,0.32915238732742047,0.0024212130996217884
56,878390,2395938995521,9.488754272460938,8.053268432617188,3.149806499481201,0.88832900833971,0.3240190603112758,0.0018227360572928286
57,878391,2396038995523,9.576217651367188,8.085155487060547,3.1499288082122803,0.8746653639290258,0.3188649961859191,0.0012235299448440373
58,878392,2396138995524,9.662307739257812,8.116523742675781,3.149991035461426,0.8608757692174152,0.3136905248095978,0.0006238344367309745
59,878393,2396238995525,9.74700927734375,8.14737319946289,3.149993419647217,0.8469622098825624,0.3084959773467766,2.3889403160670675e-05
60,878394,2396338995527,9.830291748046875,8.177701950073242,3.149935722351074,0.8329266894530818,0.3032816862467236,-0.000576065185852459
61,878395,2396438995528,9.91217041015625,8.20750617980957,3.1498184204101562,0.8187712290195748,0.29804798522226505,-0.0011757893564717792
62,878396,2396538995530,9.99261474609375,8.236785888671875,3.1496410369873047,0.8044978669439473,0.29279520922846913,-0.0017750432270255412
63,878397,2396638995531,10.071640014648438,8.26553726196289,3.1494035720825195,0.7901086585656181,0.2875236944412407,-0.00237358710395541
64,878398,2396738995533,10.149200439453125,8.29376220703125,3.14910626411438,0.7756056759057905,0.28223377823570317,-0.002971181577691162
65,878399,2396838995534,10.225296020507812,8.321455001831055,3.148749589920044,0.7609910073688297,0.276925799164669,-0.003567587618411028
66,878400,2396938995536,10.2999267578125,8.348613739013672,3.1483333110809326,0.7462667574418091,0.2716000969370391,-0.004162566671650769
67,878401,2397038995537,10.373046875,8.375240325927734,3.147857904434204,0.7314350463913044,0.2662570123959185,-0.004755880753721797
68,878402,2397138995539,10.4447021484375,8.401330947875977,3.1473228931427,0.7164980099579665,0.2608968874968731,-0.005347292546902527
69,878403,2397238995540,10.514862060546875,8.426881790161133,3.1467292308807373,0.7014577990493365,0.25552006528609894,-0.005936565494360779
70,878404,2397338995542,10.58349609375,8.451894760131836,3.1460771560668945,0.6863165794297288,0.25012688987832377,-0.006523463894774206
71,878405,2397438995543,10.650604248046875,8.47636604309082,3.1453664302825928,0.6710765314086586,0.2447177064349937,-0.007107752996608208
72,878406,2397538995545,10.716171264648438,8.500295639038086,3.144597291946411,0.6557398495266753,0.2392928611420153,-0.007689199092012489
73,878407,2397638995546,10.78021240234375,8.523679733276367,3.143770694732666,0.6403087422394904,0.23385270118753354,-0.008267569610301007
74,878408,2397738995548,10.842681884765625,8.546520233154297,3.142886161804199,0.6247854315997969,0.22839757474004685,-0.008842633210978113
75,878409,2397838995549,10.903594970703125,8.56881332397461,3.1419451236724854,0.609172152937667,0.22292783092574098,-0.0094141598762712
76,878410,2397938995551,10.96295166015625,8.590557098388672,3.140946865081787,0.5934711545381433,0.21744381980632,-0.009981921003134608
77,878411,2398038995552,11.020721435546875,8.611751556396484,3.139892101287842,0.5776846973178174,0.2119458923566775,-0.010545689494686483
78,878412,2398138995554,11.076889038085938,8.632394790649414,3.1387815475463867,0.5618150544993661,0.20643440044224803,-0.011105239851048332
79,878413,2398238995555,11.131484985351562,8.652486801147461,3.13761568069458,0.5458645112838667,0.20090969679664283,-0.011660348259537878
80,878414,2398338995557,11.1844482421875,8.67202377319336,3.136394500732422,0.5298353645219755,0.19537213499905448,-0.012210792684191896
81,878415,2398438995558,11.23583984375,8.69100570678711,3.1351189613342285,0.5137299223831882,0.18982206945150182,-0.012756352954581829
82,878416,2398538995560,11.28558349609375,8.709432601928711,3.133789300918579,0.49755050402325196,0.18425985535628797,-0.013296810853871688
83,878417,2398638995561,11.333709716796875,8.727302551269531,3.132405996322632,0.4812994392505132,0.17868584869322746,-0.013831950206107946
84,878418,2398738995563,11.380218505859375,8.744609832763672,3.130969762802124,0.46497906819022106,0.17310040619682,-0.014361556962686484
85,878419,2398838995564,11.425079345703125,8.761360168457031,3.129481077194214,0.4485917409475526,0.16750388533354865,-0.014885419287964108
